Estimate,Std. Error,z value,Pr(z),paras,AIC,loglik,strain,exposure_hypothesis,rho,waning,boundaries
5.703952951238276,5.444291171844877,1.0476943225844053,0.2947794641589736,rho_m,75.29044701004675,-34.645223505023374,HKU1_S1,Binary,rho_05,Direct,Bounded
1,0.6485989977579668,1.5417846827650559,0.12312592544170493,lambda_0,75.29044701004675,-34.645223505023374,HKU1_S1,Binary,rho_05,Direct,Bounded
0.5056998412223139,0.08640082552036864,5.852951498745776,4.829249929548722e-9,sigma,75.29044701004675,-34.645223505023374,HKU1_S1,Binary,rho_05,Direct,Bounded
5.460175525072255,4.145634030294605,1.3170905789492067,0.1878082645512895,rho_m,75.94921926795975,-34.974609633979874,a_229E_S1,Binary,rho_05,Direct,Bounded
1,0.6035797894942435,1.656781783296502,0.09756360128671307,lambda_0,75.94921926795975,-34.974609633979874,a_229E_S1,Binary,rho_05,Direct,Bounded
0.501425580908008,0.07995400523846949,6.271425420308394,3.577576516065891e-10,sigma,75.94921926795975,-34.974609633979874,a_229E_S1,Binary,rho_05,Direct,Bounded
8.371163553286403,9.13675889311665,0.9162071201849243,0.3595582717062671,rho_m,81.90388409998732,-37.95194204999366,NL63_S1,Binary,rho_05,Direct,Bounded
1,0.6547098739510364,1.5273941020092003,0.1266630421833367,lambda_0,81.90388409998732,-37.95194204999366,NL63_S1,Binary,rho_05,Direct,Bounded
0.5335130612500868,0.09358214561979884,5.701013347328225,1.1909730956634427e-8,sigma,81.90388409998732,-37.95194204999366,NL63_S1,Binary,rho_05,Direct,Bounded
6.581783273963503,6.5711960911903,1.0016111500290483,0.31653143369164205,rho_m,85.5390351676887,-39.76951758384435,OC43_HE,Binary,rho_05,Direct,Bounded
1,0.6513607276290193,1.5352476094775356,0.12472301775417548,lambda_0,85.5390351676887,-39.76951758384435,OC43_HE,Binary,rho_05,Direct,Bounded
0.5360391708032325,0.09074177994219268,5.907302800812568,3.4775421415932185e-9,sigma,85.5390351676887,-39.76951758384435,OC43_HE,Binary,rho_05,Direct,Bounded
5.066665253487881,1.682220068791999,3.011892051154906,0.002596249051584712,rho_m,-8.78240733443587,7.391203667217935,HKU1_S1,Binary,rho_95,Direct,Bounded
0.8972525711874246,0.12111763549017888,7.408108386166278,1.2811358327088924e-13,lambda_0,-8.78240733443587,7.391203667217935,HKU1_S1,Binary,rho_95,Direct,Bounded
0.20675976538258786,0.021325656597365964,9.695352845929525,3.15545092627108e-22,sigma,-8.78240733443587,7.391203667217935,HKU1_S1,Binary,rho_95,Direct,Bounded
4.7004731470249395,1.461466394900335,3.216271796208827,0.0012986777282662898,rho_m,2.43306096051241,1.783469519743795,a_229E_S1,Binary,rho_95,Direct,Bounded
0.7903107151171427,0.11475810759885904,6.886752767653692,5.708029497004506e-12,lambda_0,2.43306096051241,1.783469519743795,a_229E_S1,Binary,rho_95,Direct,Bounded
0.23314527185467485,0.023795311561180598,9.797949955613332,1.1489373168913064e-22,sigma,2.43306096051241,1.783469519743795,a_229E_S1,Binary,rho_95,Direct,Bounded
6.590571128573089,2.112055246025897,3.120453946919284,0.001805725307907053,rho_m,-23.694167203632137,14.847083601816069,NL63_S1,Binary,rho_95,Direct,Bounded
1,0.10610885173285091,9.424284436869499,4.330481475280627e-21,lambda_0,-23.694167203632137,14.847083601816069,NL63_S1,Binary,rho_95,Direct,Bounded
0.17759462848506552,0.018164646733478233,9.776938197083178,1.4142410350744967e-22,sigma,-23.694167203632137,14.847083601816069,NL63_S1,Binary,rho_95,Direct,Bounded
5.432481998323257,1.5938306975541687,3.408443573498575,6.533459583930385e-4,rho_m,-19.658344660105662,12.829172330052831,OC43_HE,Binary,rho_95,Direct,Bounded
1,0.114598246308288,8.726137024032957,2.6351936992768586e-18,lambda_0,-19.658344660105662,12.829172330052831,OC43_HE,Binary,rho_95,Direct,Bounded
0.18721061200416453,0.018724121177790463,9.998365756477991,1.549326917123094e-23,sigma,-19.658344660105662,12.829172330052831,OC43_HE,Binary,rho_95,Direct,Bounded
341.50792245916523,2.031324758692663e-5,16812078.964613996,0,rho_m,-37.13711364194518,25.56855682097259,HKU1_S1,Ordered,rho_05,Direct,Bounded
1,NA,NA,NA,b0,-37.13711364194518,25.56855682097259,HKU1_S1,Ordered,rho_05,Direct,Bounded
1,NA,NA,NA,b1,-37.13711364194518,25.56855682097259,HKU1_S1,Ordered,rho_05,Direct,Bounded
1,NA,NA,NA,b2,-37.13711364194518,25.56855682097259,HKU1_S1,Ordered,rho_05,Direct,Bounded
394.3444087670243,6.604380339355153e-5,5970952.43617553,0,b3,-37.13711364194518,25.56855682097259,HKU1_S1,Ordered,rho_05,Direct,Bounded
0.03530542418921018,0.01620815054941941,2.178251249676037,0.02938733644059896,lambda_4,-37.13711364194518,25.56855682097259,HKU1_S1,Ordered,rho_05,Direct,Bounded
0.19754235858886524,0.00748843724617363,26.379650666072358,2.346015712751095e-153,sigma,-37.13711364194518,25.56855682097259,HKU1_S1,Ordered,rho_05,Direct,Bounded
13.295955804586434,NA,NA,NA,rho_m,-79.44264375083152,46.72132187541576,HKU1_S1,Ordered,rho_05,Direct,Unbounded
0.005333912972060975,NA,NA,NA,b0,-79.44264375083152,46.72132187541576,HKU1_S1,Ordered,rho_05,Direct,Unbounded
7.802109734657839,NA,NA,NA,b1,-79.44264375083152,46.72132187541576,HKU1_S1,Ordered,rho_05,Direct,Unbounded
11.736066531136808,NA,NA,NA,b2,-79.44264375083152,46.72132187541576,HKU1_S1,Ordered,rho_05,Direct,Unbounded
13.521422499934634,5.194633108916387,2.6029600582812353,0.009242272045166767,b3,-79.44264375083152,46.72132187541576,HKU1_S1,Ordered,rho_05,Direct,Unbounded
0.9999417575078047,0.3950949837660604,2.5308895293387983,0.011377367563857078,lambda_4,-79.44264375083152,46.72132187541576,HKU1_S1,Ordered,rho_05,Direct,Unbounded
0.16639581710468254,0.01065912405644521,15.61064644932701,6.1609566544143364e-55,sigma,-79.44264375083152,46.72132187541576,HKU1_S1,Ordered,rho_05,Direct,Unbounded
5.9082716410747675,2.4833292199151633,2.3791737292394153,0.017351496070390427,rho_m,-41.556116556783124,27.778058278391562,HKU1_S1,Ordered,rho_05,Laddered,Bounded
1,NA,NA,NA,b0,-41.556116556783124,27.778058278391562,HKU1_S1,Ordered,rho_05,Laddered,Bounded
1,NA,NA,NA,b1,-41.556116556783124,27.778058278391562,HKU1_S1,Ordered,rho_05,Laddered,Bounded
1,NA,NA,NA,b2,-41.556116556783124,27.778058278391562,HKU1_S1,Ordered,rho_05,Laddered,Bounded
14.608023937926445,29.587331777667504,0.49372562716022167,0.621499963907644,b3,-41.556116556783124,27.778058278391562,HKU1_S1,Ordered,rho_05,Laddered,Bounded
0.35547150897503443,0.7292208786773046,0.48746754154900984,0.6259270395023595,lambda_4,-41.556116556783124,27.778058278391562,HKU1_S1,Ordered,rho_05,Laddered,Bounded
0.19410527221227383,0.0057674109551522305,33.65552996338379,2.588050426492737e-248,sigma,-41.556116556783124,27.778058278391562,HKU1_S1,Ordered,rho_05,Laddered,Bounded
5.900221528747604,1.2252701201038259,4.815445534775333,1.468718210086987e-6,rho_m,-282.4699766108464,148.2349883054232,HKU1_S1,Ordered,rho_05,Laddered,Unbounded
0.002470218303622841,NA,NA,NA,b0,-282.4699766108464,148.2349883054232,HKU1_S1,Ordered,rho_05,Laddered,Unbounded
1.6347615366047599,NA,NA,NA,b1,-282.4699766108464,148.2349883054232,HKU1_S1,Ordered,rho_05,Laddered,Unbounded
5.804224672489123,NA,NA,NA,b2,-282.4699766108464,148.2349883054232,HKU1_S1,Ordered,rho_05,Laddered,Unbounded
7.883412065618837,1.024550051024997,7.694511417701835,1.4203586250524747e-14,b3,-282.4699766108464,148.2349883054232,HKU1_S1,Ordered,rho_05,Laddered,Unbounded
