Estimate,Std. Error,z value,Pr(z),paras,AIC,loglik,strain,exposure_hypothesis,rho,waning
7.6614620050491,5.15270711809698,1.4868809403393113,0.13704625900973313,rho_m,23.784638091975996,-8.892319045987998,HKU1_S1,Binary,rho_05,Direct
8.072214063379915,1.6361121556894258,4.933777941389624,8.065413229316027e-7,lambda_0,23.784638091975996,-8.892319045987998,HKU1_S1,Binary,rho_05,Direct
0.29236862547603737,0.03015553924880871,9.695353913712134,3.1554179190524604e-22,sigma,23.784638091975996,-8.892319045987998,HKU1_S1,Binary,rho_05,Direct
6.609813222320324,3.934421411442089,1.6799962513160531,0.09295804509069949,rho_m,32.43814588778307,-13.219072943891536,a_229E_S1,Binary,rho_05,Direct
7.0288737883427785,1.4744455655648696,4.767130067395857,1.8686867937526007e-6,lambda_0,32.43814588778307,-13.219072943891536,a_229E_S1,Binary,rho_05,Direct
0.3186885642256494,0.0325260270659942,9.797955452076614,1.1488748118667849e-22,sigma,32.43814588778307,-13.219072943891536,a_229E_S1,Binary,rho_05,Direct
6.2833247032726165,4.922033984865353,1.2765707678153106,0.20175382766319888,rho_m,25.13787756997274,-9.56893878498637,NL63_S1,Binary,rho_05,Direct
8.233315864757824,1.6282620148127995,5.056505519294082,4.270085178249043e-7,lambda_0,25.13787756997274,-9.56893878498637,NL63_S1,Binary,rho_05,Direct
0.2953525816322144,0.030144305844507904,9.797955977348396,1.1488688387245384e-22,sigma,25.13787756997274,-9.56893878498637,NL63_S1,Binary,rho_05,Direct
22.702129807279285,NA,NA,NA,rho_m,256.5053571023057,-125.25267855115285,OC43_HE,Binary,rho_05,Direct
11.887606066664825,NA,NA,NA,lambda_0,256.5053571023057,-125.25267855115285,OC43_HE,Binary,rho_05,Direct
4.87566130172409,NA,NA,NA,sigma,256.5053571023057,-125.25267855115285,OC43_HE,Binary,rho_05,Direct
5.06666725314306,1.6822218140974985,3.0118901150151207,0.0025962656103596256,rho_m,-8.782407334427699,7.3912036672138495,HKU1_S1,Binary,rho_95,Direct
0.8972528470854486,0.12111771565174474,7.40810576105448,1.2811611861162657e-13,lambda_0,-8.782407334427699,7.3912036672138495,HKU1_S1,Binary,rho_95,Direct
0.2067597897224439,0.021325662873533168,9.695351133917114,3.1555038485878004e-22,sigma,-8.782407334427699,7.3912036672138495,HKU1_S1,Binary,rho_95,Direct
4.700473147142864,1.4614663950221667,3.2162717960213993,0.0012986777291145236,rho_m,2.433060960512386,1.783469519743807,a_229E_S1,Binary,rho_95,Direct
0.790310715037544,0.11475810758326062,6.886752767896148,5.7080294872803585e-12,lambda_0,2.433060960512386,1.783469519743807,a_229E_S1,Binary,rho_95,Direct
0.2331452718638608,0.023795311563511112,9.79794995503976,1.148937323414057e-22,sigma,2.433060960512386,1.783469519743807,a_229E_S1,Binary,rho_95,Direct
6.478039831042444,2.0677173963272146,3.1329425590504143,0.0017306330716194205,rho_m,-23.801297833365606,14.900648916682803,NL63_S1,Binary,rho_95,Direct
1.036080390198227,0.11247484940024173,9.211662835940638,3.211113420107994e-20,lambda_0,-23.801297833365606,14.900648916682803,NL63_S1,Binary,rho_95,Direct
0.1773963447703143,0.0181054360472773,9.797960364339925,1.148818953132429e-22,sigma,-23.801297833365606,14.900648916682803,NL63_S1,Binary,rho_95,Direct
5.419091409943142,1.5877220783508394,3.4131234199198963,6.422284978704217e-4,rho_m,-19.666546476942464,12.833273238471232,OC43_HE,Binary,rho_95,Direct
1.0105078034848198,0.11674926227495727,8.655367783866279,4.913247489319835e-18,lambda_0,-19.666546476942464,12.833273238471232,OC43_HE,Binary,rho_95,Direct
0.1871952476135092,0.01871954992150233,9.99998655942503,1.524177458392345e-23,sigma,-19.666546476942464,12.833273238471232,OC43_HE,Binary,rho_95,Direct
191.40488771576295,NA,NA,NA,rho_m,-36.93538570660555,25.467692853302776,HKU1_S1,Ordered,rho_05,Direct
1,NA,NA,NA,b0,-36.93538570660555,25.467692853302776,HKU1_S1,Ordered,rho_05,Direct
1,NA,NA,NA,b1,-36.93538570660555,25.467692853302776,HKU1_S1,Ordered,rho_05,Direct
1,NA,NA,NA,b2,-36.93538570660555,25.467692853302776,HKU1_S1,Ordered,rho_05,Direct
178.88046854448703,4.5344528668035135e-4,394491.8467541285,0,b3,-36.93538570660555,25.467692853302776,HKU1_S1,Ordered,rho_05,Direct
0.07804787894169232,0.033352255268950054,2.340107987070744,0.019278164882407245,lambda_4,-36.93538570660555,25.467692853302776,HKU1_S1,Ordered,rho_05,Direct
0.1976896791786268,0.007155071759982807,27.629307686929728,4.948081152346979e-168,sigma,-36.93538570660555,25.467692853302776,HKU1_S1,Ordered,rho_05,Direct
5.908201510344306,2.4833209232648525,2.3791534372354586,0.0173524513281059,rho_m,-41.556111443919576,27.778055721959788,HKU1_S1,Ordered,rho_05,Laddered
1,NA,NA,NA,b0,-41.556111443919576,27.778055721959788,HKU1_S1,Ordered,rho_05,Laddered
1,NA,NA,NA,b1,-41.556111443919576,27.778055721959788,HKU1_S1,Ordered,rho_05,Laddered
1,NA,NA,NA,b2,-41.556111443919576,27.778055721959788,HKU1_S1,Ordered,rho_05,Laddered
14.538426753090457,30.338695672606917,0.4792040801614729,0.631793451880152,b3,-41.556111443919576,27.778055721959788,HKU1_S1,Ordered,rho_05,Laddered
0.3571877677736185,0.7550118449647757,0.4730889590086931,0.6361497135298405,lambda_4,-41.556111443919576,27.778055721959788,HKU1_S1,Ordered,rho_05,Laddered
