time,Prop,Type,Group,strain_type,exposure,choose_rho,waning
0,0.75,M,2,HKU1_S1,Binary,rho_05,Direct
0,0.25,P,1,HKU1_S1,Binary,rho_05,Direct
0.125,0.2878365242893279,M,2,HKU1_S1,Binary,rho_05,Direct
0.125,0.42123682264642515,P,1,HKU1_S1,Binary,rho_05,Direct
0.25,0.11046630378945477,M,2,HKU1_S1,Binary,rho_05,Direct
0.25,0.4053678356896152,P,1,HKU1_S1,Binary,rho_05,Direct
0.375,0.042395005550073916,M,2,HKU1_S1,Binary,rho_05,Direct
0.375,0.3824604330719941,P,1,HKU1_S1,Binary,rho_05,Direct
0.5,0.01627046887350512,M,2,HKU1_S1,Binary,rho_05,Direct
0.5,0.370202818718248,P,1,HKU1_S1,Binary,rho_05,Direct
0.625,0.006244176392787619,M,2,HKU1_S1,Binary,rho_05,Direct
0.625,0.3647840864124874,P,1,HKU1_S1,Binary,rho_05,Direct
0.75,0.002396094142955183,M,2,HKU1_S1,Binary,rho_05,Direct
0.75,0.3625570379631395,P,1,HKU1_S1,Binary,rho_05,Direct
0.875,9.195348345145383e-4,M,2,HKU1_S1,Binary,rho_05,Direct
0.875,0.3616720588811424,P,1,HKU1_S1,Binary,rho_05,Direct
1,0.3613262048547646,P,1,HKU1_S1,Binary,rho_05,Direct
1,0.63832095754942475,P,2,HKU1_S1,Binary,rho_05,Direct
2,0.3611084071428683,P,1,HKU1_S1,Binary,rho_05,Direct
2,0.6388914052998099,P,2,HKU1_S1,Binary,rho_05,Direct
3,0.3611082907305131,P,1,HKU1_S1,Binary,rho_05,Direct
3,0.6388917093589528,P,2,HKU1_S1,Binary,rho_05,Direct
4,0.3611082907859824,P,1,HKU1_S1,Binary,rho_05,Direct
4,0.6388917092144323,P,2,HKU1_S1,Binary,rho_05,Direct
5,0.36110829078623957,P,1,HKU1_S1,Binary,rho_05,Direct
5,0.6388917092137624,P,2,HKU1_S1,Binary,rho_05,Direct
10,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
10,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
15,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
15,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
20,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
20,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
25,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
25,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
30,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
30,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
35,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
35,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
40,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
40,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
45,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
45,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
50,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
50,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
55,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
60,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
65,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
0,0.8382352941176471,M,2,a_229E_S1,Binary,rho_05,Direct
0,0.16176470588235295,P,1,a_229E_S1,Binary,rho_05,Direct
0.125,0.3668941623171913,M,2,a_229E_S1,Binary,rho_05,Direct
0.125,0.40905528799470053,P,1,a_229E_S1,Binary,rho_05,Direct
0.25,0.1605887795248577,M,2,a_229E_S1,Binary,rho_05,Direct
0.25,0.42782862710042585,P,1,a_229E_S1,Binary,rho_05,Direct
0.375,0.07028946807204216,M,2,a_229E_S1,Binary,rho_05,Direct
0.375,0.415035759708445,P,1,a_229E_S1,Binary,rho_05,Direct
0.5,0.030765646549051208,M,2,a_229E_S1,Binary,rho_05,Direct
0.5,0.40450317901528715,P,1,a_229E_S1,Binary,rho_05,Direct
0.625,0.013466084120745353,M,2,a_229E_S1,Binary,rho_05,Direct
0.625,0.3987344092701351,P,1,a_229E_S1,Binary,rho_05,Direct
0.75,0.005893840655666094,M,2,a_229E_S1,Binary,rho_05,Direct
0.75,0.3959372969372447,P,1,a_229E_S1,Binary,rho_05,Direct
0.875,0.3946490819432839,P,1,a_229E_S1,Binary,rho_05,Direct
0.875,0.602771361791163,P,2,a_229E_S1,Binary,rho_05,Direct
1,0.39407025271107415,P,1,a_229E_S1,Binary,rho_05,Direct
1,0.6048009143900867,P,2,a_229E_S1,Binary,rho_05,Direct
2,0.39361227689355116,P,1,a_229E_S1,Binary,rho_05,Direct
2,0.6063862514688075,P,2,a_229E_S1,Binary,rho_05,Direct
3,0.3936116707638673,P,1,a_229E_S1,Binary,rho_05,Direct
3,0.6063883286181644,P,2,a_229E_S1,Binary,rho_05,Direct
4,0.39361167048313733,P,1,a_229E_S1,Binary,rho_05,Direct
4,0.6063883295118677,P,2,a_229E_S1,Binary,rho_05,Direct
5,0.39361167048107887,P,1,a_229E_S1,Binary,rho_05,Direct
5,0.6063883295188808,P,2,a_229E_S1,Binary,rho_05,Direct
10,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
10,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
15,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
15,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
20,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
20,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
25,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
25,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
30,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
30,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
35,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
35,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
40,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
40,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
45,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
45,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
50,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
50,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
55,0.3936116704810622,P,1,a_229E_S1,Binary,rho_05,Direct
55,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
60,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
65,0.6063883295189377,P,2,a_229E_S1,Binary,rho_05,Direct
0,0.7794117647058824,M,2,NL63_S1,Binary,rho_05,Direct
0,0.22058823529411764,P,1,NL63_S1,Binary,rho_05,Direct
0.125,0.35535781523430016,M,2,NL63_S1,Binary,rho_05,Direct
0.125,0.38138611750216206,P,1,NL63_S1,Binary,rho_05,Direct
0.25,0.16201839051344175,M,2,NL63_S1,Binary,rho_05,Direct
0.25,0.385419551559362,P,1,NL63_S1,Binary,rho_05,Direct
0.375,0.3732620234461692,P,1,NL63_S1,Binary,rho_05,Direct
0.375,0.5528688149367603,P,2,NL63_S1,Binary,rho_05,Direct
0.5,0.3648917383942512,P,1,NL63_S1,Binary,rho_05,Direct
0.5,0.6014290464435871,P,2,NL63_S1,Binary,rho_05,Direct
0.625,0.3605042552451561,P,1,NL63_S1,Binary,rho_05,Direct
0.625,0.6241405956824126,P,2,NL63_S1,Binary,rho_05,Direct
0.75,0.3583884398150434,P,1,NL63_S1,Binary,rho_05,Direct
0.75,0.6346108793886452,P,2,NL63_S1,Binary,rho_05,Direct
0.875,0.35740051868956985,P,1,NL63_S1,Binary,rho_05,Direct
0.875,0.6394077740044523,P,2,NL63_S1,Binary,rho_05,Direct
1,0.3569455303240231,P,1,NL63_S1,Binary,rho_05,Direct
1,0.6415991481530205,P,2,NL63_S1,Binary,rho_05,Direct
2,0.35656259272912194,P,1,NL63_S1,Binary,rho_05,Direct
2,0.6434346458821895,P,2,NL63_S1,Binary,rho_05,Direct
3,0.3565618680945205,P,1,NL63_S1,Binary,rho_05,Direct
3,0.6434381299782219,P,2,NL63_S1,Binary,rho_05,Direct
4,0.3565618674327825,P,1,NL63_S1,Binary,rho_05,Direct
4,0.6434381325485525,P,2,NL63_S1,Binary,rho_05,Direct
5,0.3565618674278228,P,1,NL63_S1,Binary,rho_05,Direct
5,0.6434381325719964,P,2,NL63_S1,Binary,rho_05,Direct
10,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
10,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
15,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
15,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
20,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
25,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
25,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
30,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
30,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
35,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
35,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
40,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
40,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
45,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
45,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
50,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
50,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
55,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
55,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
60,0.35656186742777507,P,1,NL63_S1,Binary,rho_05,Direct
60,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
65,0.6434381325722249,P,2,NL63_S1,Binary,rho_05,Direct
0,0.7573529411764706,M,2,OC43_HE,Binary,rho_05,Direct
0,0.2426470588235294,P,1,OC43_HE,Binary,rho_05,Direct
0.125,0.04434814581071211,M,2,OC43_HE,Binary,rho_05,Direct
0.125,0.4253564020260258,P,1,OC43_HE,Binary,rho_05,Direct
0.25,0.0025968986652443373,M,2,OC43_HE,Binary,rho_05,Direct
0.25,0.3052145503323152,P,1,OC43_HE,Binary,rho_05,Direct
0.375,1.5203494185147127e-4,M,2,OC43_HE,Binary,rho_05,Direct
0.375,0.2814404079307756,P,1,OC43_HE,Binary,rho_05,Direct
0.5,8.93738944188682e-6,M,2,OC43_HE,Binary,rho_05,Direct
0.5,0.277907053816507,P,1,OC43_HE,Binary,rho_05,Direct
0.625,5.64280058064414e-7,M,2,OC43_HE,Binary,rho_05,Direct
0.625,0.27742654725860366,P,1,OC43_HE,Binary,rho_05,Direct
0.75,2.703756305600584e-8,M,2,OC43_HE,Binary,rho_05,Direct
0.75,0.27736306728783944,P,1,OC43_HE,Binary,rho_05,Direct
0.875,0.2773550343510744,P,1,OC43_HE,Binary,rho_05,Direct
0.875,0.722644961612097,P,2,OC43_HE,Binary,rho_05,Direct
1,0.2773540011532875,P,1,OC43_HE,Binary,rho_05,Direct
1,0.7226459985563418,P,2,OC43_HE,Binary,rho_05,Direct
2,0.27735383472872005,P,1,OC43_HE,Binary,rho_05,Direct
2,0.7226461652713131,P,2,OC43_HE,Binary,rho_05,Direct
3,0.2773538347722599,P,1,OC43_HE,Binary,rho_05,Direct
3,0.7226461652277402,P,2,OC43_HE,Binary,rho_05,Direct
4,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
4,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
5,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
5,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
10,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
10,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
15,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
15,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
20,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
20,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
25,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
25,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
30,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
30,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
35,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
35,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
40,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
40,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
45,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
45,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
50,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
50,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
55,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
55,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
60,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
60,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
65,0.2773538347722656,P,1,OC43_HE,Binary,rho_05,Direct
65,0.7226461652277344,P,2,OC43_HE,Binary,rho_05,Direct
0,0.75,M,2,HKU1_S1,Binary,rho_95,Direct
0,0.25,P,1,HKU1_S1,Binary,rho_95,Direct
0.125,0.39811478261114336,M,2,HKU1_S1,Binary,rho_95,Direct
0.125,0.5553654932607391,P,1,HKU1_S1,Binary,rho_95,Direct
0.25,0.21132908161242153,M,2,HKU1_S1,Binary,rho_95,Direct
0.25,0.6757748970416307,P,1,HKU1_S1,Binary,rho_95,Direct
0.375,0.11217722037546571,M,2,HKU1_S1,Binary,rho_95,Direct
0.375,0.7042119459322731,P,1,HKU1_S1,Binary,rho_95,Direct
0.5,0.05954606397009491,M,2,HKU1_S1,Binary,rho_95,Direct
0.5,0.6891029188125848,P,1,HKU1_S1,Binary,rho_95,Direct
0.625,0.0316083455759977,M,2,HKU1_S1,Binary,rho_95,Direct
0.625,0.6553726885550794,P,1,HKU1_S1,Binary,rho_95,Direct
0.75,0.016778582743953167,M,2,HKU1_S1,Binary,rho_95,Direct
0.75,0.6155824053210778,P,1,HKU1_S1,Binary,rho_95,Direct
0.875,0.008906429496323845,M,2,HKU1_S1,Binary,rho_95,Direct
0.875,0.5758314800248276,P,1,HKU1_S1,Binary,rho_95,Direct
1,0.5388725681375851,P,1,HKU1_S1,Binary,rho_95,Direct
1,0.45639970072641417,P,2,HKU1_S1,Binary,rho_95,Direct
2,0.3700715652565458,P,1,HKU1_S1,Binary,rho_95,Direct
2,0.6298986142158691,P,2,HKU1_S1,Binary,rho_95,Direct
3,0.3219702235570953,P,1,HKU1_S1,Binary,rho_95,Direct
3,0.6780296074550117,P,2,HKU1_S1,Binary,rho_95,Direct
4,0.30869978291166134,P,1,HKU1_S1,Binary,rho_95,Direct
4,0.6913002167849431,P,2,HKU1_S1,Binary,rho_95,Direct
5,0.305041139593493,P,1,HKU1_S1,Binary,rho_95,Direct
5,0.6949588603825166,P,2,HKU1_S1,Binary,rho_95,Direct
10,0.30365085457270613,P,1,HKU1_S1,Binary,rho_95,Direct
10,0.696349145427294,P,2,HKU1_S1,Binary,rho_95,Direct
15,0.303648651057768,P,1,HKU1_S1,Binary,rho_95,Direct
15,0.6963513489422319,P,2,HKU1_S1,Binary,rho_95,Direct
20,0.30364864688188764,P,1,HKU1_S1,Binary,rho_95,Direct
20,0.6963513531181122,P,2,HKU1_S1,Binary,rho_95,Direct
25,0.30364864687125825,P,1,HKU1_S1,Binary,rho_95,Direct
25,0.6963513531287419,P,2,HKU1_S1,Binary,rho_95,Direct
30,0.3036486468712311,P,1,HKU1_S1,Binary,rho_95,Direct
30,0.6963513531287688,P,2,HKU1_S1,Binary,rho_95,Direct
35,0.3036486468712311,P,1,HKU1_S1,Binary,rho_95,Direct
35,0.6963513531287688,P,2,HKU1_S1,Binary,rho_95,Direct
40,0.3036486468712311,P,1,HKU1_S1,Binary,rho_95,Direct
40,0.6963513531287688,P,2,HKU1_S1,Binary,rho_95,Direct
45,0.3036486468712311,P,1,HKU1_S1,Binary,rho_95,Direct
45,0.6963513531287688,P,2,HKU1_S1,Binary,rho_95,Direct
50,0.3036486468712311,P,1,HKU1_S1,Binary,rho_95,Direct
50,0.6963513531287688,P,2,HKU1_S1,Binary,rho_95,Direct
55,0.6963513531287688,P,2,HKU1_S1,Binary,rho_95,Direct
60,0.6963513531287688,P,2,HKU1_S1,Binary,rho_95,Direct
65,0.6963513531287688,P,2,HKU1_S1,Binary,rho_95,Direct
0,0.8382352941176471,M,2,a_229E_S1,Binary,rho_95,Direct
0,0.16176470588235295,P,1,a_229E_S1,Binary,rho_95,Direct
0.125,0.4657926604538884,M,2,a_229E_S1,Binary,rho_95,Direct
0.125,0.5001652125234736,P,1,a_229E_S1,Binary,rho_95,Direct
0.25,0.2588339759217107,M,2,a_229E_S1,Binary,rho_95,Direct
0.25,0.6520751786273676,P,1,a_229E_S1,Binary,rho_95,Direct
0.375,0.1438291935925787,M,2,a_229E_S1,Binary,rho_95,Direct
0.375,0.705319976142661,P,1,a_229E_S1,Binary,rho_95,Direct
0.5,0.0799235416997349,M,2,a_229E_S1,Binary,rho_95,Direct
0.5,0.7080158029614209,P,1,a_229E_S1,Binary,rho_95,Direct
0.625,0.04441225896279184,M,2,a_229E_S1,Binary,rho_95,Direct
0.625,0.6863153621532009,P,1,a_229E_S1,Binary,rho_95,Direct
0.75,0.02467922707561001,M,2,a_229E_S1,Binary,rho_95,Direct
0.75,0.6542436445949285,P,1,a_229E_S1,Binary,rho_95,Direct
0.875,0.6191566640552181,P,1,a_229E_S1,Binary,rho_95,Direct
0.875,0.36712939067783873,P,2,a_229E_S1,Binary,rho_95,Direct
1,0.5847649025788199,P,1,a_229E_S1,Binary,rho_95,Direct
1,0.40761444696829247,P,2,a_229E_S1,Binary,rho_95,Direct
2,0.41172421490390493,P,1,a_229E_S1,Binary,rho_95,Direct
2,0.5882065931633619,P,2,a_229E_S1,Binary,rho_95,Direct
3,0.35588231347807925,P,1,a_229E_S1,Binary,rho_95,Direct
3,0.6441170487359433,P,2,a_229E_S1,Binary,rho_95,Direct
4,0.3387252796703951,P,1,a_229E_S1,Binary,rho_95,Direct
4,0.6612747146391127,P,2,a_229E_S1,Binary,rho_95,Direct
5,0.33346131837758614,P,1,a_229E_S1,Binary,rho_95,Direct
5,0.6665386815197846,P,2,a_229E_S1,Binary,rho_95,Direct
10,0.3311378942346259,P,1,a_229E_S1,Binary,rho_95,Direct
10,0.6688621057653741,P,2,a_229E_S1,Binary,rho_95,Direct
15,0.33113159405018144,P,1,a_229E_S1,Binary,rho_95,Direct
15,0.6688684059498187,P,2,a_229E_S1,Binary,rho_95,Direct
20,0.33113157573635277,P,1,a_229E_S1,Binary,rho_95,Direct
20,0.6688684242636473,P,2,a_229E_S1,Binary,rho_95,Direct
25,0.33113157566227086,P,1,a_229E_S1,Binary,rho_95,Direct
25,0.6688684243377292,P,2,a_229E_S1,Binary,rho_95,Direct
30,0.3311315756619711,P,1,a_229E_S1,Binary,rho_95,Direct
30,0.6688684243380288,P,2,a_229E_S1,Binary,rho_95,Direct
35,0.3311315756619701,P,1,a_229E_S1,Binary,rho_95,Direct
35,0.66886842433803,P,2,a_229E_S1,Binary,rho_95,Direct
40,0.3311315756619701,P,1,a_229E_S1,Binary,rho_95,Direct
40,0.66886842433803,P,2,a_229E_S1,Binary,rho_95,Direct
45,0.3311315756619701,P,1,a_229E_S1,Binary,rho_95,Direct
45,0.66886842433803,P,2,a_229E_S1,Binary,rho_95,Direct
50,0.3311315756619701,P,1,a_229E_S1,Binary,rho_95,Direct
50,0.66886842433803,P,2,a_229E_S1,Binary,rho_95,Direct
55,0.3311315756619701,P,1,a_229E_S1,Binary,rho_95,Direct
55,0.66886842433803,P,2,a_229E_S1,Binary,rho_95,Direct
60,0.66886842433803,P,2,a_229E_S1,Binary,rho_95,Direct
65,0.66886842433803,P,2,a_229E_S1,Binary,rho_95,Direct
0,0.7794117647058824,M,2,NL63_S1,Binary,rho_95,Direct
0,0.22058823529411764,P,1,NL63_S1,Binary,rho_95,Direct
0.125,0.34681261094030646,M,2,NL63_S1,Binary,rho_95,Direct
0.125,0.5971885293375437,P,1,NL63_S1,Binary,rho_95,Direct
0.25,0.15432124405448985,M,2,NL63_S1,Binary,rho_95,Direct
0.25,0.7080778089315891,P,1,NL63_S1,Binary,rho_95,Direct
0.375,0.7099992276210382,P,1,NL63_S1,Binary,rho_95,Direct
0.375,0.22133268053103752,P,2,NL63_S1,Binary,rho_95,Direct
0.5,0.6711815919130913,P,1,NL63_S1,Binary,rho_95,Direct
0.5,0.29826320066376955,P,2,NL63_S1,Binary,rho_95,Direct
0.625,0.6207190259981816,P,1,NL63_S1,Binary,rho_95,Direct
0.625,0.3656846691711369,P,2,NL63_S1,Binary,rho_95,Direct
0.75,0.570498621787911,P,1,NL63_S1,Binary,rho_95,Direct
0.75,0.42345142837382505,P,2,NL63_S1,Binary,rho_95,Direct
0.875,0.5249228667432113,P,1,NL63_S1,Binary,rho_95,Direct
0.875,0.4723849993676797,P,2,NL63_S1,Binary,rho_95,Direct
1,0.48520989771917533,P,1,NL63_S1,Binary,rho_95,Direct
1,0.5135922423909455,P,2,NL63_S1,Binary,rho_95,Direct
2,0.3251106158893667,P,1,NL63_S1,Binary,rho_95,Direct
2,0.6748874158379773,P,2,NL63_S1,Binary,rho_95,Direct
3,0.28635144580124244,P,1,NL63_S1,Binary,rho_95,Direct
3,0.7136485197164215,P,2,NL63_S1,Binary,rho_95,Direct
4,0.2770511672547771,P,1,NL63_S1,Binary,rho_95,Direct
4,0.7229488313963989,P,2,NL63_S1,Binary,rho_95,Direct
5,0.2748192744166922,P,1,NL63_S1,Binary,rho_95,Direct
5,0.725180724397375,P,2,NL63_S1,Binary,rho_95,Direct
10,0.2741152523041546,P,1,NL63_S1,Binary,rho_95,Direct
10,0.7258847476958454,P,2,NL63_S1,Binary,rho_95,Direct
15,0.27411469734423555,P,1,NL63_S1,Binary,rho_95,Direct
15,0.7258853026557645,P,2,NL63_S1,Binary,rho_95,Direct
20,0.7258853032818008,P,2,NL63_S1,Binary,rho_95,Direct
25,0.2741146967173188,P,1,NL63_S1,Binary,rho_95,Direct
25,0.7258853032826812,P,2,NL63_S1,Binary,rho_95,Direct
30,0.27411469671731775,P,1,NL63_S1,Binary,rho_95,Direct
30,0.7258853032826823,P,2,NL63_S1,Binary,rho_95,Direct
35,0.27411469671731775,P,1,NL63_S1,Binary,rho_95,Direct
35,0.7258853032826823,P,2,NL63_S1,Binary,rho_95,Direct
40,0.27411469671731775,P,1,NL63_S1,Binary,rho_95,Direct
40,0.7258853032826823,P,2,NL63_S1,Binary,rho_95,Direct
45,0.27411469671731775,P,1,NL63_S1,Binary,rho_95,Direct
45,0.7258853032826823,P,2,NL63_S1,Binary,rho_95,Direct
50,0.27411469671731775,P,1,NL63_S1,Binary,rho_95,Direct
50,0.7258853032826823,P,2,NL63_S1,Binary,rho_95,Direct
55,0.27411469671731775,P,1,NL63_S1,Binary,rho_95,Direct
55,0.7258853032826823,P,2,NL63_S1,Binary,rho_95,Direct
60,0.27411469671731775,P,1,NL63_S1,Binary,rho_95,Direct
60,0.7258853032826823,P,2,NL63_S1,Binary,rho_95,Direct
65,0.7258853032826823,P,2,NL63_S1,Binary,rho_95,Direct
0,0.7573529411764706,M,2,OC43_HE,Binary,rho_95,Direct
0,0.2426470588235294,P,1,OC43_HE,Binary,rho_95,Direct
0.125,0.3846921352472371,M,2,OC43_HE,Binary,rho_95,Direct
0.125,0.5625607667132762,P,1,OC43_HE,Binary,rho_95,Direct
0.25,0.19540264626412532,M,2,OC43_HE,Binary,rho_95,Direct
0.25,0.6765226532698062,P,1,OC43_HE,Binary,rho_95,Direct
0.375,0.09925353756604219,M,2,OC43_HE,Binary,rho_95,Direct
0.375,0.693675913994946,P,1,OC43_HE,Binary,rho_95,Direct
0.5,0.050415340426586165,M,2,OC43_HE,Binary,rho_95,Direct
0.5,0.6682018475808271,P,1,OC43_HE,Binary,rho_95,Direct
0.625,0.025608221504314653,M,2,OC43_HE,Binary,rho_95,Direct
0.625,0.6265705152305225,P,1,OC43_HE,Binary,rho_95,Direct
0.75,0.013007745970793315,M,2,OC43_HE,Binary,rho_95,Direct
0.75,0.581343545182505,P,1,OC43_HE,Binary,rho_95,Direct
0.875,0.5381610117217371,P,1,OC43_HE,Binary,rho_95,Direct
0.875,0.45523177253341274,P,2,OC43_HE,Binary,rho_95,Direct
1,0.4992649066374154,P,1,OC43_HE,Binary,rho_95,Direct
1,0.4973789103985209,P,2,OC43_HE,Binary,rho_95,Direct
2,0.3343232597465476,P,1,OC43_HE,Binary,rho_95,Direct
2,0.6656618353445344,P,2,OC43_HE,Binary,rho_95,Direct
3,0.2927100887486077,P,1,OC43_HE,Binary,rho_95,Direct
3,0.707289845296664,P,2,OC43_HE,Binary,rho_95,Direct
4,0.2824621254828803,P,1,OC43_HE,Binary,rho_95,Direct
4,0.7175378745270916,P,2,OC43_HE,Binary,rho_95,Direct
5,0.279939213073501,P,1,OC43_HE,Binary,rho_95,Direct
5,0.7200607869693959,P,2,OC43_HE,Binary,rho_95,Direct
10,0.27911616703747194,P,1,OC43_HE,Binary,rho_95,Direct
10,0.720883832962528,P,2,OC43_HE,Binary,rho_95,Direct
15,0.27911542350383667,P,1,OC43_HE,Binary,rho_95,Direct
15,0.7208845764961633,P,2,OC43_HE,Binary,rho_95,Direct
20,0.2791154225379588,P,1,OC43_HE,Binary,rho_95,Direct
20,0.7208845774620412,P,2,OC43_HE,Binary,rho_95,Direct
25,0.2791154225364448,P,1,OC43_HE,Binary,rho_95,Direct
25,0.7208845774635552,P,2,OC43_HE,Binary,rho_95,Direct
30,0.2791154225364425,P,1,OC43_HE,Binary,rho_95,Direct
30,0.7208845774635575,P,2,OC43_HE,Binary,rho_95,Direct
35,0.2791154225364425,P,1,OC43_HE,Binary,rho_95,Direct
35,0.7208845774635575,P,2,OC43_HE,Binary,rho_95,Direct
40,0.2791154225364425,P,1,OC43_HE,Binary,rho_95,Direct
40,0.7208845774635575,P,2,OC43_HE,Binary,rho_95,Direct
45,0.2791154225364425,P,1,OC43_HE,Binary,rho_95,Direct
45,0.7208845774635575,P,2,OC43_HE,Binary,rho_95,Direct
50,0.2791154225364425,P,1,OC43_HE,Binary,rho_95,Direct
50,0.7208845774635575,P,2,OC43_HE,Binary,rho_95,Direct
55,0.2791154225364425,P,1,OC43_HE,Binary,rho_95,Direct
55,0.7208845774635575,P,2,OC43_HE,Binary,rho_95,Direct
60,0.2791154225364425,P,1,OC43_HE,Binary,rho_95,Direct
60,0.7208845774635575,P,2,OC43_HE,Binary,rho_95,Direct
65,0.2791154225364425,P,1,OC43_HE,Binary,rho_95,Direct
65,0.7208845774635575,P,2,OC43_HE,Binary,rho_95,Direct
0,0.08088235294117649,M,2,HKU1_S1,Ordered,rho_05,Direct
0,0.18382352941176475,M,3,HKU1_S1,Ordered,rho_05,Direct
